"InvoiceNo","StockCode","Description","Quantity","InvoiceDate","UnitPrice","CustomerID","Country"
"565431","22666","RECIPE BOX PANTRY YELLOW DESIGN",1,"9/4/2011 13:15",2.95,14965,"United Kingdom"
"567460","84879","ASSORTED COLOUR BIRD ORNAMENT",8,"9/20/2011 12:30",1.69,15888,"United Kingdom"
"540455","21883","STARS GIFT TAPE ",144,"1/7/2011 12:07",0.19,12583,"France"
"547070","71459","HANGING JAM JAR T-LIGHT HOLDER",12,"3/20/2011 13:58",0.85,16115,"United Kingdom"
"570522","21931","JUMBO STORAGE BAG SUKI",100,"10/11/2011 10:46",1.74,16029,"United Kingdom"
"581253","22776","SWEETHEART 3 TIER CAKE STAND ",1,"12/8/2011 11:15",9.95,16891,"United Kingdom"
"545066","22805","BLUE DRAWER KNOB ACRYLIC EDWARDIAN",4,"2/27/2011 14:44",1.25,13610,"United Kingdom"
"545662","23194","GYMKHANNA TREASURE BOOK BOX",8,"3/4/2011 14:42",2.25,15358,"United Kingdom"
"565431","21174","POTTERING IN THE SHED METAL SIGN",1,"9/4/2011 13:15",2.08,14965,"United Kingdom"
"573173","23320","GIANT 50'S CHRISTMAS CRACKER",12,"10/28/2011 10:10",2.89,12362,"Belgium"
"557499","22627","MINT KITCHEN SCALES",2,"6/20/2011 15:25",8.5,16320,"Unspecified"
"549116","21870","I CAN ONLY PLEASE ONE PERSON MUG",12,"4/6/2011 12:49",1.25,16670,"United Kingdom"
"574678","22965","3 TRADITIONAl BISCUIT CUTTERS  SET",6,"11/6/2011 12:36",2.1,13365,"United Kingdom"
"539106","22966","GINGERBREAD MAN COOKIE CUTTER",144,"12/16/2010 10:51",1.06,16705,"United Kingdom"
"573340","20724","RED RETROSPOT CHARLOTTE BAG",4,"10/30/2011 11:55",0.85,14159,"United Kingdom"
"577506","23554","LANDMARK FRAME OXFORD STREET",1,"11/20/2011 12:40",12.5,13212,"United Kingdom"
"539439","22988","SOLDIERS EGG CUP ",12,"12/17/2010 15:14",1.25,13869,"United Kingdom"
"548860","22921","HERB MARKER CHIVES ",1,"4/4/2011 13:38",0.65,13263,"United Kingdom"
"563498","22193","RED DINER WALL CLOCK",2,"8/16/2011 16:17",8.5,17719,"United Kingdom"
"575982","23323","WHITE WICKER STAR ",1,"11/13/2011 13:42",2.1,13798,"United Kingdom"
"537400","22956","36 FOIL HEART CAKE CASES",1,"12/6/2010 14:36",2.1,17191,"United Kingdom"
"563745","21523","DOORMAT FANCY FONT HOME SWEET HOME",10,"8/19/2011 9:38",6.75,15159,"United Kingdom"
"570288","23319","BOX OF 6 MINI 50'S CRACKERS",2,"10/10/2011 11:47",2.49,16960,"United Kingdom"
"572558","22493","PAINT YOUR OWN CANVAS SET",12,"10/25/2011 8:26",1.65,14286,"United Kingdom"
"546438","22692","DOORMAT WELCOME TO OUR HOME",10,"3/14/2011 9:59",6.75,15125,"United Kingdom"
"539042","20971","PINK BLUE FELT CRAFT TRINKET BOX",12,"12/15/2010 15:37",1.25,15062,"United Kingdom"
"552703","23068","ALUMINIUM STAMPED HEART",4,"5/10/2011 16:00",2.49,14462,"United Kingdom"
"562276","22386","JUMBO BAG PINK POLKADOT",10,"8/4/2011 10:23",2.08,17735,"United Kingdom"
"556776","23148","MINIATURE ANTIQUE ROSE HOOK IVORY",4,"6/14/2011 12:24",0.83,14730,"United Kingdom"
"543281","20615","BLUE POLKADOT PASSPORT COVER",1,"2/6/2011 15:34",2.1,14606,"United Kingdom"
"554597","84978","HANGING HEART JAR T-LIGHT HOLDER",24,"5/25/2011 11:01",1.25,15140,"United Kingdom"
"553206","23206","LUNCH BAG APPLE DESIGN",10,"5/16/2011 8:16",1.65,14156,"EIRE"
"576345","46775D","SUNSET COLOUR CHUNKY KNITTED THROW",2,"11/14/2011 15:37",16.95,12374,"Austria"
"565181","22659","LUNCH BOX I LOVE LONDON",192,"9/1/2011 15:52",1.65,17381,"United Kingdom"
"557764","21730","GLASS STAR FROSTED T-LIGHT HOLDER",6,"6/22/2011 14:21",4.95,13089,"United Kingdom"
"561170","22492","MINI PAINT SET VINTAGE ",36,"7/25/2011 13:16",0.65,16027,"United Kingdom"
"566781","22816","CARD MOTORBIKE SANTA",24,"9/15/2011 10:11",0.42,17333,"United Kingdom"
"565778","22867","HAND WARMER BIRD DESIGN",12,"9/6/2011 15:04",2.1,17460,"United Kingdom"
"569491","20914","SET/5 RED RETROSPOT LID GLASS BOWLS",1,"10/4/2011 13:25",2.95,14056,"United Kingdom"
"541110","22319","HAIRCLIPS FORTIES FABRIC ASSORTED",12,"1/13/2011 15:11",0.65,15916,"United Kingdom"
"559552","22899","CHILDREN'S APRON DOLLY GIRL ",1,"7/10/2011 16:29",2.1,16014,"United Kingdom"
"557350","22807","SET OF 6 T-LIGHTS TOADSTOOLS",6,"6/20/2011 10:41",2.95,16670,"United Kingdom"
"555835","23170","REGENCY TEA PLATE ROSES ",12,"6/7/2011 12:34",1.65,14525,"United Kingdom"
"561106","22746","POPPY'S PLAYHOUSE LIVINGROOM ",6,"7/25/2011 11:37",2.1,14246,"United Kingdom"
"574619","23344","JUMBO BAG 50'S CHRISTMAS ",3,"11/6/2011 11:18",2.08,15952,"United Kingdom"
"537204","21802","CHRISTMAS TREE HEART DECORATION",15,"12/5/2010 14:45",0.42,15555,"United Kingdom"
"575269","22116","METAL SIGN HIS DINNER IS SERVED",12,"11/9/2011 12:08",0.79,17865,"United Kingdom"
"563574","21080","SET/20 RED RETROSPOT PAPER NAPKINS ",12,"8/17/2011 15:05",0.85,15827,"United Kingdom"
"569236","22778","GLASS CLOCHE SMALL",1,"10/2/2011 15:49",3.95,14432,"United Kingdom"
"553920","82482","WOODEN PICTURE FRAME WHITE FINISH",6,"5/20/2011 8:57",2.55,15955,"United Kingdom"
"575213","22041","RECORD FRAME 7"" SINGLE SIZE ",48,"11/9/2011 10:47",2.1,16210,"United Kingdom"
"579167","23335","EGG FRYING PAN IVORY ",2,"11/28/2011 14:06",2.08,16800,"United Kingdom"
"571837","22278","OVERNIGHT BAG VINTAGE ROSE PAISLEY",5,"10/19/2011 12:11",4.95,16470,"United Kingdom"
"555719","21395","BLUE POLKADOT BEAKER ",48,"6/6/2011 15:31",0.39,12609,"Germany"
"563749","23285","PINK VINTAGE SPOT BEAKER",8,"8/19/2011 10:10",0.85,12360,"Austria"
"560996","21380","WOODEN HAPPY BIRTHDAY GARLAND",3,"7/22/2011 13:53",2.95,17625,"United Kingdom"
"541847","22720","SET OF 3 CAKE TINS PANTRY DESIGN ",2,"1/23/2011 13:25",4.95,15443,"United Kingdom"
"559354","22710","WRAP I LOVE LONDON ",25,"7/7/2011 18:02",0.42,16012,"United Kingdom"
"542147","22957","SET 3 PAPER VINTAGE CHICK PAPER EGG",12,"1/26/2011 10:02",2.95,12782,"Portugal"
"563928","23242","TREASURE TIN BUFFALO BILL ",2,"8/21/2011 15:17",2.08,17059,"United Kingdom"
"558994","47566","PARTY BUNTING",50,"7/5/2011 11:58",4.15,13854,"United Kingdom"
"545690","22151","PLACE SETTING WHITE HEART",2,"3/6/2011 12:46",0.42,13263,"United Kingdom"
"568050","21239","PINK  POLKADOT CUP",4,"9/23/2011 12:38",0.85,15901,"United Kingdom"
"564489","21242","RED RETROSPOT PLATE ",4,"8/25/2011 14:13",1.69,15950,"United Kingdom"
"558563","35637A","IVORY STRING CURTAIN WITH POLE ",2,"6/30/2011 13:43",5.95,14561,"United Kingdom"
"567326","84945","MULTI COLOUR SILVER T-LIGHT HOLDER",12,"9/19/2011 14:38",0.85,14290,"United Kingdom"
"564329","POST","POSTAGE",2,"8/24/2011 13:55",18,12569,"Germany"
"551531","22698","PINK REGENCY TEACUP AND SAUCER",8,"5/1/2011 13:45",2.95,15376,"United Kingdom"
"536845","21891","TRADITIONAL WOODEN SKIPPING ROPE",1,"12/2/2010 19:18",1.25,17961,"United Kingdom"
"547069","22113","GREY HEART HOT WATER BOTTLE",2,"3/20/2011 13:52",3.75,16710,"United Kingdom"
"571914","22523","CHILDS GARDEN FORK PINK",12,"10/19/2011 15:33",0.85,14776,"United Kingdom"
"553507","21592","RETROSPOT CIGAR BOX MATCHES ",4,"5/17/2011 13:35",1.25,17220,"United Kingdom"
"568669","23080","RED METAL BOX TOP SECRET",4,"9/28/2011 13:04",8.25,13488,"United Kingdom"
"539338","22949","36 DOILIES DOLLY GIRL",144,"12/17/2010 10:54",1.45,17404,"Sweden"
"574659","85014A","BLACK/BLUE POLKADOT UMBRELLA",1,"11/6/2011 11:44",5.95,16942,"United Kingdom"
"573149","21106","CREAM SLICE FLANNEL CHOCOLATE SPOT ",3,"10/27/2011 19:56",2.95,16438,"United Kingdom"
"561025","22092","BLUE PAISLEY TISSUE BOX",1,"7/24/2011 10:37",0.39,16241,"United Kingdom"
"540176","22382","LUNCH BAG SPACEBOY DESIGN ",100,"1/5/2011 12:40",1.45,17511,"United Kingdom"
"575854","21889","WOODEN BOX OF DOMINOES",12,"11/11/2011 12:20",1.25,14125,"United Kingdom"
"558233","22804","CANDLEHOLDER PINK HANGING HEART",6,"6/27/2011 14:36",2.95,18073,"United Kingdom"
"565249","23005","TRAVEL CARD WALLET I LOVE LONDON",24,"9/2/2011 10:38",0.42,18027,"United Kingdom"
"576595","85123A","WHITE HANGING HEART T-LIGHT HOLDER",96,"11/15/2011 14:56",2.55,14911,"EIRE"
"571229","22804","PINK HANGING HEART T-LIGHT HOLDER",1,"10/14/2011 14:04",2.95,15453,"United Kingdom"
"542401","20898","VINTAGE NOTEBOOK TRAVELOGUE",1,"1/27/2011 15:51",2.95,14541,"United Kingdom"
"537141","22725","ALARM CLOCK BAKELIKE CHOCOLATE",3,"12/5/2010 12:57",3.75,15570,"United Kingdom"
"541631","22630","DOLLY GIRL LUNCH BOX",12,"1/20/2011 10:48",1.95,12637,"France"
"571056","22666","RECIPE BOX PANTRY YELLOW DESIGN",6,"10/13/2011 14:10",2.95,15367,"United Kingdom"
"554916","22090","PAPER BUNTING RETROSPOT",3,"5/27/2011 12:26",2.95,17345,"United Kingdom"
"548211","21209","MULTICOLOUR HONEYCOMB FAN",48,"3/30/2011 9:06",1.45,14646,"Netherlands"
"560048","16161P","WRAP ENGLISH ROSE ",25,"7/14/2011 15:02",0.42,13515,"United Kingdom"
"579286","21034","REX CASH+CARRY JUMBO SHOPPER",2,"11/29/2011 10:57",0.95,17772,"United Kingdom"
"566648","22741","FUNKY DIVA PEN",48,"9/14/2011 11:25",0.85,14198,"United Kingdom"
"578045","22992","REVOLVER WOODEN RULER ",1,"11/22/2011 14:43",1.95,17297,"United Kingdom"
"559058","22644","CERAMIC CHERRY CAKE MONEY BANK",24,"7/6/2011 9:49",1.45,12407,"Belgium"
"572067","23199","JUMBO BAG APPLES",10,"10/20/2011 13:13",2.08,16099,"United Kingdom"
"580879","84519B","CARROT CHARLIE+LOLA COASTER SET",1,"12/6/2011 12:18",1.25,17346,"United Kingdom"
"572331","23391"," I LOVE LONDON MINI BACKPACK",4,"10/24/2011 10:18",4.15,16491,"United Kingdom"
"545295","22567","20 DOLLY PEGS RETROSPOT",20,"3/1/2011 12:09",1.25,12709,"Germany"
"578944","22097","SWALLOW SQUARE TISSUE BOX",2,"11/27/2011 13:41",0.39,16005,"United Kingdom"
"544309","79000","MOROCCAN TEA GLASS",24,"2/17/2011 14:17",0.85,15785,"United Kingdom"
"545304","22607","WOODEN ROUNDERS GARDEN SET ",2,"3/1/2011 12:51",9.95,16212,"United Kingdom"
"564065","23298","SPOTTY BUNTING",6,"8/22/2011 15:05",4.95,15150,"United Kingdom"
"580289","21166","COOK WITH WINE METAL SIGN ",12,"12/2/2011 13:32",2.08,15856,"United Kingdom"
"540040","22467","GUMBALL COAT RACK",36,"1/4/2011 14:20",2.1,12483,"Sweden"
"577773","23349","ROLL WRAP VINTAGE CHRISTMAS",3,"11/21/2011 15:57",1.25,16712,"United Kingdom"
"559418","22314","OFFICE MUG WARMER CHOC+BLUE",6,"7/8/2011 11:36",2.95,12681,"France"
"567126","23203","JUMBO BAG VINTAGE DOILY ",2,"9/16/2011 13:53",2.08,17238,"United Kingdom"
"556510","79321","CHILLI LIGHTS",4,"6/13/2011 10:36",5.75,14911,"EIRE"
"548320","21452","TOADSTOOL MONEY BOX",20,"3/30/2011 12:54",2.95,12709,"Germany"
"539053","22095","LADS ONLY TISSUE BOX",1,"12/15/2010 16:32",1.25,16725,"United Kingdom"
"571498","22993","SET OF 4 PANTRY JELLY MOULDS",7,"10/17/2011 15:06",1.25,17841,"United Kingdom"
"570488","15060B","FAIRY CAKE DESIGN UMBRELLA",1,"10/10/2011 17:12",8.29,14096,"United Kingdom"
"537995","22352","LUNCH BOX WITH CUTLERY RETROSPOT ",6,"12/9/2010 11:39",2.55,12712,"Germany"
"554979","84971S","SMALL HEART FLOWERS HOOK ",3,"5/29/2011 11:34",0.85,16931,"United Kingdom"
"572023","23517","EMBROIDERED RIBBON REEL REBECCA ",12,"10/20/2011 11:03",2.89,17764,"United Kingdom"
"540161","37370","RETRO COFFEE MUGS ASSORTED",4,"1/5/2011 11:52",1.25,16719,"United Kingdom"
"550001","84406B","CREAM CUPID HEARTS COAT HANGER",4,"4/14/2011 9:28",4.15,17704,"United Kingdom"
"569721","11001","ASSTD DESIGN RACING CAR PEN",16,"10/6/2011 9:28",1.69,12628,"Germany"
"545290","21925","UNION STRIPE CUSHION COVER ",6,"3/1/2011 12:01",1.25,14688,"United Kingdom"
"536783","16237","SLEEPING CAT ERASERS",270,"12/2/2010 15:19",0.16,15061,"United Kingdom"
"570693","21385","IVORY HANGING DECORATION  HEART",4,"10/11/2011 16:50",0.85,16161,"United Kingdom"
"548698","22197","SMALL POPCORN HOLDER",6,"4/3/2011 10:55",0.85,18109,"United Kingdom"
"574840","90059F","DIAMANTE HAIR GRIP PACK/2 LT ROSE",1,"11/7/2011 11:41",1.65,12748,"United Kingdom"
"538418","20751","FUNKY WASHING UP GLOVES ASSORTED",3,"12/12/2010 12:00",2.1,17372,"United Kingdom"
"545022","22745","POPPY'S PLAYHOUSE BEDROOM ",6,"2/25/2011 14:24",2.1,12921,"United Kingdom"
"575195","23208","LUNCH BAG VINTAGE LEAF DESIGN",10,"11/9/2011 9:40",1.65,16767,"United Kingdom"
"551724","82600","NO SINGING METAL SIGN",1,"5/3/2011 17:12",2.1,15976,"United Kingdom"
"570818","79321","CHILLI LIGHTS",10,"10/12/2011 12:47",5.75,17841,"United Kingdom"
"536823","82494L","WOODEN FRAME ANTIQUE WHITE ",6,"12/2/2010 17:22",2.95,13011,"United Kingdom"
"542386","22957","SET 3 PAPER VINTAGE CHICK PAPER EGG",6,"1/27/2011 14:35",2.95,17540,"United Kingdom"
"575068","23204","CHARLOTTE BAG APPLES DESIGN",10,"11/8/2011 12:46",0.85,14282,"United Kingdom"
"553061","22367","CHILDRENS APRON SPACEBOY DESIGN",2,"5/13/2011 11:12",1.95,17238,"United Kingdom"
"568367","23333","IVORY WICKER HEART MEDIUM",12,"9/26/2011 15:51",1.25,15755,"United Kingdom"
"538104","22747","POPPY'S PLAYHOUSE BATHROOM",2,"12/9/2010 15:16",2.1,17950,"United Kingdom"
"576054","22530","MAGIC DRAWING SLATE DOLLY GIRL ",2,"11/13/2011 14:55",0.42,15787,"United Kingdom"
"577410","23200","JUMBO BAG PEARS",2,"11/20/2011 10:59",2.08,14664,"United Kingdom"
"575680","21793","CLASSIC FRENCH STYLE BASKET BROWN",8,"11/10/2011 15:23",3.95,13148,"United Kingdom"
"566075","72819","CUPID DESIGN SCENTED CANDLES",6,"9/9/2011 9:03",2.55,16173,"United Kingdom"
"543008","22621","TRADITIONAL KNITTING NANCY",96,"2/2/2011 13:07",1.25,13824,"United Kingdom"
